index,uuid,time,rssi
0,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967162.19096,-68
1,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967162.2948177,-72
2,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967162.4006948,-71
3,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967162.5070717,-70
4,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967162.6144552,-78
5,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967162.722517,-69
6,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967162.82976,-67
7,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967162.939479,-68
8,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967163.0437555,-73
9,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967163.1497054,-70
10,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967163.2573543,-69
11,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967163.3634605,-69
12,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967163.4714434,-68
13,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967163.5771766,-66
14,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967163.6852467,-74
15,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967163.793895,-75
16,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967163.899758,-66
17,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967164.0063045,-73
18,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967164.112339,-67
19,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967164.2163286,-74
20,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967164.3247883,-65
21,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967164.7526734,-72
22,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967164.8623056,-67
23,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967164.9703577,-74
24,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967165.0760658,-66
25,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967165.180377,-72
26,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967165.2886295,-67
27,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967165.3941472,-73
28,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967165.5013819,-71
29,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967165.6067357,-72
30,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967165.7164364,-72
31,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967165.824957,-66
32,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967165.9316928,-72
33,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967166.0374188,-66
34,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967166.2474349,-66
35,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967166.3519454,-69
36,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967166.457328,-69
37,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967166.5617168,-70
38,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967166.6702833,-70
39,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967166.778125,-66
40,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967166.8853128,-69
41,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967166.993666,-70
42,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967167.3143015,-67
43,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967167.5254745,-66
44,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967167.6303077,-70
45,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967167.741285,-69
46,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967167.845269,-69
47,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967167.951301,-70
48,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967168.0553207,-71
49,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967168.2731047,-68
50,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967168.3814561,-70
51,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967168.4867864,-70
52,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967168.5940216,-70
53,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967168.7012367,-70
54,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967168.8052819,-70
55,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967168.9112983,-69
56,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967169.015253,-72
57,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967169.1212773,-70
58,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967173.2926073,-69
59,94ebb9a2-9318-e349-ce93-eb7b5dcc369a,1641967173.3966243,-71
