index,time,uuid,rssi
0,1627788796.335746,80b970d7-6e39-45a6-81c9-9a312d21e009,-69
1,1627788796.4702506,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
2,1627788796.6094215,80b970d7-6e39-45a6-81c9-9a312d21e009,-67
3,1627788796.8744256,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
4,1627788797.0161006,80b970d7-6e39-45a6-81c9-9a312d21e009,-67
5,1627788797.144407,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
6,1627788797.4219613,80b970d7-6e39-45a6-81c9-9a312d21e009,-67
7,1627788797.560913,80b970d7-6e39-45a6-81c9-9a312d21e009,-69
8,1627788797.69076,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
9,1627788797.8248258,80b970d7-6e39-45a6-81c9-9a312d21e009,-67
10,1627788797.9620035,80b970d7-6e39-45a6-81c9-9a312d21e009,-68
11,1627788798.0947425,80b970d7-6e39-45a6-81c9-9a312d21e009,-67
12,1627788798.233998,80b970d7-6e39-45a6-81c9-9a312d21e009,-63
13,1627788798.3699174,80b970d7-6e39-45a6-81c9-9a312d21e009,-68
14,1627788798.5020242,80b970d7-6e39-45a6-81c9-9a312d21e009,-67
15,1627788798.6347911,80b970d7-6e39-45a6-81c9-9a312d21e009,-67
16,1627788798.7669113,80b970d7-6e39-45a6-81c9-9a312d21e009,-67
17,1627788799.0419576,80b970d7-6e39-45a6-81c9-9a312d21e009,-67
18,1627788799.312059,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
19,1627788799.4435563,80b970d7-6e39-45a6-81c9-9a312d21e009,-68
20,1627788799.5794585,80b970d7-6e39-45a6-81c9-9a312d21e009,-67
21,1627788799.7148013,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
22,1627788799.9815104,80b970d7-6e39-45a6-81c9-9a312d21e009,-64
23,1627788800.1207228,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
24,1627788800.2560942,80b970d7-6e39-45a6-81c9-9a312d21e009,-68
25,1627788800.3907268,80b970d7-6e39-45a6-81c9-9a312d21e009,-67
26,1627788800.521488,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
27,1627788800.6607184,80b970d7-6e39-45a6-81c9-9a312d21e009,-68
28,1627788800.7998178,80b970d7-6e39-45a6-81c9-9a312d21e009,-68
29,1627788800.9390469,80b970d7-6e39-45a6-81c9-9a312d21e009,-62
30,1627788801.0744636,80b970d7-6e39-45a6-81c9-9a312d21e009,-70
31,1627788801.2114983,80b970d7-6e39-45a6-81c9-9a312d21e009,-64
32,1627788801.344402,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
33,1627788801.48604,80b970d7-6e39-45a6-81c9-9a312d21e009,-68
34,1627788801.6169438,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
35,1627788801.747717,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
36,1627788802.2986321,80b970d7-6e39-45a6-81c9-9a312d21e009,-68
37,1627788802.4269931,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
38,1627788802.5648222,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
39,1627788802.8252916,80b970d7-6e39-45a6-81c9-9a312d21e009,-62
40,1627788803.101503,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
41,1627788803.2382703,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
42,1627788803.374767,80b970d7-6e39-45a6-81c9-9a312d21e009,-68
43,1627788803.5069036,80b970d7-6e39-45a6-81c9-9a312d21e009,-67
44,1627788803.644858,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
45,1627788803.9135969,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
46,1627788804.0520794,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
47,1627788804.1861107,80b970d7-6e39-45a6-81c9-9a312d21e009,-68
48,1627788804.3252861,80b970d7-6e39-45a6-81c9-9a312d21e009,-64
49,1627788804.596606,80b970d7-6e39-45a6-81c9-9a312d21e009,-64
50,1627788804.867806,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
51,1627788805.1390707,80b970d7-6e39-45a6-81c9-9a312d21e009,-62
52,1627788805.278251,80b970d7-6e39-45a6-81c9-9a312d21e009,-67
53,1627788805.4090476,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
54,1627788805.544484,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
55,1627788805.6814985,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
56,1627788805.8123996,80b970d7-6e39-45a6-81c9-9a312d21e009,-68
57,1627788805.9439747,80b970d7-6e39-45a6-81c9-9a312d21e009,-62
