index,uuid,time,rssi
0,1de5d3de-4e54-445d-b31c-48d1a58b4f33,1632209803.6196718,-40
1,1de5d3de-4e54-445d-b31c-48d1a58b4f33,1632209803.693098,-42
2,1de5d3de-4e54-445d-b31c-48d1a58b4f33,1632209803.7258568,-37
3,1de5d3de-4e54-445d-b31c-48d1a58b4f33,1632209803.802806,-35
4,1de5d3de-4e54-445d-b31c-48d1a58b4f33,1632209803.8396997,-40
5,1de5d3de-4e54-445d-b31c-48d1a58b4f33,1632209803.879086,-42
6,1de5d3de-4e54-445d-b31c-48d1a58b4f33,1632209803.9500613,-35
7,1de5d3de-4e54-445d-b31c-48d1a58b4f33,1632209803.9838474,-36
8,1de5d3de-4e54-445d-b31c-48d1a58b4f33,1632209804.015112,-40
9,1de5d3de-4e54-445d-b31c-48d1a58b4f33,1632209804.045186,-34
10,1de5d3de-4e54-445d-b31c-48d1a58b4f33,1632209804.0856197,-42
11,1de5d3de-4e54-445d-b31c-48d1a58b4f33,1632209804.119111,-39
12,1de5d3de-4e54-445d-b31c-48d1a58b4f33,1632209804.1541185,-45
13,1de5d3de-4e54-445d-b31c-48d1a58b4f33,1632209804.1928508,-34
14,1de5d3de-4e54-445d-b31c-48d1a58b4f33,1632209804.232417,-39
15,1de5d3de-4e54-445d-b31c-48d1a58b4f33,1632209804.314352,-35
16,1de5d3de-4e54-445d-b31c-48d1a58b4f33,1632209804.3444376,-35
17,1de5d3de-4e54-445d-b31c-48d1a58b4f33,1632209804.3758476,-35
18,1de5d3de-4e54-445d-b31c-48d1a58b4f33,1632209804.405915,-41
19,1de5d3de-4e54-445d-b31c-48d1a58b4f33,1632209804.4459224,-37
20,1de5d3de-4e54-445d-b31c-48d1a58b4f33,1632209804.4832537,-44
21,1de5d3de-4e54-445d-b31c-48d1a58b4f33,1632209804.5501757,-41
22,1de5d3de-4e54-445d-b31c-48d1a58b4f33,1632209804.583981,-34
23,1de5d3de-4e54-445d-b31c-48d1a58b4f33,1632209804.625703,-42
24,1de5d3de-4e54-445d-b31c-48d1a58b4f33,1632209804.6615975,-40
25,1de5d3de-4e54-445d-b31c-48d1a58b4f33,1632209804.7289722,-35
26,1de5d3de-4e54-445d-b31c-48d1a58b4f33,1632209804.7639937,-34
27,1de5d3de-4e54-445d-b31c-48d1a58b4f33,1632209804.7940736,-35
28,1de5d3de-4e54-445d-b31c-48d1a58b4f33,1632209804.832383,-42
