index,time,uuid,rssi
0,1626945008,00021592-a7d5-0268-024f-0b9ab687c246,-54
1,1626945008,00021592-a7d5-0268-024f-0b9ab687c246,-54
3,1626945008,00021592-a7d5-0268-024f-0b9ab687c246,-58
4,1626945008,00021592-a7d5-0268-024f-0b9ab687c246,-55
5,1626945008,00021592-a7d5-0268-024f-0b9ab687c246,-52
6,1626945008,00021592-a7d5-0268-024f-0b9ab687c246,-55
7,1626945008,00021592-a7d5-0268-024f-0b9ab687c246,-55
8,1626945008,00021592-a7d5-0268-024f-0b9ab687c246,-53
9,1626945008,00021592-a7d5-0268-024f-0b9ab687c246,-57
10,1626945008,00021592-a7d5-0268-024f-0b9ab687c246,-57
11,1626945008,00021592-a7d5-0268-024f-0b9ab687c246,-54
12,1626945008,00021592-a7d5-0268-024f-0b9ab687c246,-55
13,1626945008,00021592-a7d5-0268-024f-0b9ab687c246,-55
14,1626945008,00021592-a7d5-0268-024f-0b9ab687c246,-53
16,1626945009,00021592-a7d5-0268-024f-0b9ab687c246,-51
17,1626945009,00021592-a7d5-0268-024f-0b9ab687c246,-64
18,1626945009,00021592-a7d5-0268-024f-0b9ab687c246,-59
19,1626945009,00021592-a7d5-0268-024f-0b9ab687c246,-57
20,1626945009,00021592-a7d5-0268-024f-0b9ab687c246,-55
21,1626945009,00021592-a7d5-0268-024f-0b9ab687c246,-55
22,1626945009,00021592-a7d5-0268-024f-0b9ab687c246,-54
23,1626945009,00021592-a7d5-0268-024f-0b9ab687c246,-54
24,1626945009,00021592-a7d5-0268-024f-0b9ab687c246,-54
25,1626945009,00021592-a7d5-0268-024f-0b9ab687c246,-54
26,1626945009,00021592-a7d5-0268-024f-0b9ab687c246,-55
28,1626945009,00021592-a7d5-0268-024f-0b9ab687c246,-55
29,1626945009,00021592-a7d5-0268-024f-0b9ab687c246,-54
30,1626945009,00021592-a7d5-0268-024f-0b9ab687c246,-56
31,1626945009,00021592-a7d5-0268-024f-0b9ab687c246,-61
32,1626945009,00021592-a7d5-0268-024f-0b9ab687c246,-54
33,1626945009,00021592-a7d5-0268-024f-0b9ab687c246,-49
34,1626945009,00021592-a7d5-0268-024f-0b9ab687c246,-52
36,1626945009,00021592-a7d5-0268-024f-0b9ab687c246,-54
37,1626945009,00021592-a7d5-0268-024f-0b9ab687c246,-51
39,1626945009,00021592-a7d5-0268-024f-0b9ab687c246,-52
40,1626945009,00021592-a7d5-0268-024f-0b9ab687c246,-60
41,1626945010,00021592-a7d5-0268-024f-0b9ab687c246,-61
42,1626945010,00021592-a7d5-0268-024f-0b9ab687c246,-55
43,1626945010,00021592-a7d5-0268-024f-0b9ab687c246,-52
44,1626945010,00021592-a7d5-0268-024f-0b9ab687c246,-52
45,1626945010,00021592-a7d5-0268-024f-0b9ab687c246,-49
47,1626945010,00021592-a7d5-0268-024f-0b9ab687c246,-47
48,1626945010,00021592-a7d5-0268-024f-0b9ab687c246,-46
49,1626945010,00021592-a7d5-0268-024f-0b9ab687c246,-46
51,1626945010,00021592-a7d5-0268-024f-0b9ab687c246,-49
52,1626945010,00021592-a7d5-0268-024f-0b9ab687c246,-50
53,1626945010,00021592-a7d5-0268-024f-0b9ab687c246,-50
54,1626945010,00021592-a7d5-0268-024f-0b9ab687c246,-46
