index,uuid,time,rssi
0,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301388.4738119,-42
1,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301388.6017463,-39
2,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301388.727882,-43
3,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301388.854125,-43
4,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301388.9882278,-38
5,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301389.2443814,-38
6,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301389.3726935,-41
7,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301389.499462,-39
8,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301389.6232002,-39
9,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301389.751839,-38
10,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301389.880126,-42
11,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301390.261822,-43
12,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301390.384356,-43
13,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301390.5076206,-41
14,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301390.632731,-42
15,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301390.7607381,-38
16,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301390.8880064,-42
17,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301391.018813,-42
18,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301391.1507032,-38
19,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301391.407683,-41
20,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301391.5393865,-39
21,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301391.6657407,-38
22,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301391.7892864,-43
23,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301391.912128,-38
24,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301392.041379,-42
25,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301392.1694794,-38
26,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301392.2956836,-38
27,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301392.4181318,-43
28,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301392.5488734,-41
29,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301392.6738558,-42
30,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301392.9345186,-43
31,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301393.0682838,-38
32,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301393.199407,-42
33,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301393.3301342,-42
34,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301393.4526396,-41
35,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301393.585682,-33
36,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301393.7131622,-42
37,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301393.8440285,-41
38,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301394.1019926,-43
39,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301394.2289011,-41
40,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301394.3515804,-42
41,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301394.4818883,-38
42,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301394.613236,-42
43,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301394.7464733,-42
44,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301395.0043616,-43
45,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301395.1301444,-42
46,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301395.258308,-39
47,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301395.382057,-39
48,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301395.6332667,-42
49,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301395.7599933,-42
50,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301395.8884125,-35
51,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301396.010875,-38
52,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301396.140684,-43
53,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301396.2675815,-40
54,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301396.391237,-42
55,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301396.6519442,-42
56,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301396.7824876,-42
57,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301396.9095721,-39
58,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301397.165566,-42
59,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301397.2937806,-42
60,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301397.425822,-38
61,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301397.548192,-42
62,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301397.6786866,-41
63,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301397.8026798,-41
64,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301397.9249701,-41
65,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301398.0495298,-38
66,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301398.1721694,-38
67,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301398.559554,-34
68,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301398.6820111,-39
69,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301398.8058639,-38
70,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301398.9306657,-42
71,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301399.0588408,-42
72,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301399.1837552,-42
73,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301399.3063173,-42
74,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301399.5546532,-39
75,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301399.6794553,-43
76,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301399.8045435,-43
77,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301399.93841,-39
78,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301400.0609565,-38
79,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301400.449614,-34
80,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301400.5807397,-43
81,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301400.7056406,-43
82,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301400.8312583,-42
83,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301400.9609385,-39
84,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301401.0894303,-43
85,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632301401.2230697,-52
